Donor Potential,Donor Name,Demographic,Region,State or Province,City,Postal Code,Donation Date,Donation Amount
Lo,Renee Huang,Upper-Middle Class,South,Florida,Coral Springs,33065,10/10/2013,75.99
Lo,Shirley Garner,Middle Class,South,Florida,Oviedo,32765,10/11/2013,430.02
Not Specified,Gene Gilliam,Upper-Middle Class,South,Georgia,Atlanta,30318,10/11/2013,279.27
Not Specified,Monica Law Thompson,Upper Class,South,Arkansas,Texarkana,71854,10/11/2013,28.46
Med,Elsie Boykin,Upper Class,South,Kentucky,Fort Thomas,41075,10/12/2013,145.83
Lo,Marvin Yang,Middle Class,South,Mississippi,Pearl,39208,10/19/2013,796.87
Hi,Carol Saunders,Upper Class,South,Kentucky,Bowling Green,42104,10/22/2013,227.46
Med,Cathy Burgess,Upper Class,South,Louisiana,Shreveport,71109,10/22/2013,90.16
Not Specified,Cathy Burgess,Upper Class,South,Louisiana,Shreveport,71109,10/22/2013,62.69
Lo,Grace Black,Upper-Middle Class,South,Florida,North Miami Beach,33160,10/23/2013,5587.89
Hi,Edgar McLeod,Upper-Middle Class,South,Kentucky,Georgetown,40324,10/25/2013,436.29
Lo,Gail Ellis,Middle Class,South,South Carolina,Rock Hill,29730,10/25/2013,68.02
Med,Elsie Boykin,Middle Class,South,Kentucky,Fort Thomas,41075,10/27/2013,120.34
Hi,Christina Thompson,Middle Class,South,South Carolina,Anderson,29624,10/28/2013,221.82
Not Specified,Jennifer Zimmerman,Upper Class,South,Arkansas,Jonesboro,72401,10/28/2013,2029.82
Hi,Alison Jones,Middle Class,South,North Carolina,Wilmington,28403,10/29/2013,2118.99
Lo,Zachary Potter,Upper-Middle Class,South,North Carolina,Sanford,27237,10/29/2013,234.94
Not Specified,Lee McKenna Gregory,Middle Class,South,South Carolina,Hilton Head Island,29915,10/29/2013,958.46
Hi,Carl Hobbs,Upper Class,South,North Carolina,Greenville,27834,10/31/2013,156.03
Hi,Erika Clapp,Middle Class,South,Tennessee,Chattanooga,37421,10/31/2013,122.8
Lo,Geoffrey H Wong,Upper Class,South,Georgia,Rome,30161,10/31/2013,118.77
Lo,Neil Parker,Middle Class,South,Alabama,Decatur,35601,10/31/2013,1395.41
Hi,Bob Berg,Upper Class,South,Florida,North Miami,33161,11/3/2013,360.03
Hi,Clyde Norman,Middle Class,South,North Carolina,Jacksonville,28540,11/3/2013,169.68
Med,Beverly Roberts,Upper Class,South,Georgia,Savannah,31401,11/3/2013,422.08
Hi,Bradley Schroeder,Upper-Middle Class,South,Alabama,Auburn,36830,11/4/2013,1039.52
Hi,Norman Ward,Middle Class,South,Florida,Sarasota,34239,11/4/2013,2983.03
Hi,Eleanor Swain,Middle Class,South,North Carolina,Charlotte,28204,11/5/2013,5060.79
Med,Beverly Cameron,Middle Class,South,North Carolina,Apex,27502,11/5/2013,650.7
Hi,Marian Anthony,Middle Class,South,Florida,Delray Beach,33445,11/7/2013,4162.05
Lo,Eleanor Swain,Upper-Middle Class,South,North Carolina,Charlotte,28204,11/7/2013,131.52
Not Specified,Miriam Bowman,Upper-Middle Class,South,Florida,Hollywood,33021,11/8/2013,504.88
Hi,Kyle Bloom,Middle Class,South,North Carolina,Fort Bragg,28307,11/11/2013,122.4
Not Specified,Neal Helms,Upper-Middle Class,South,North Carolina,Charlotte,28205,11/11/2013,100.62
Lo,Emily Sims,Upper Class,South,Tennessee,Nashville,37211,11/12/2013,54.04
Lo,Ralph Fowler,Upper-Middle Class,South,Louisiana,Slidell,70458,11/13/2013,4318.55
Med,Carl Solomon,Upper-Middle Class,South,Florida,Deerfield Beach,33441,11/14/2013,1068.22
Med,Carrie McIntosh,Middle Class,South,Florida,Royal Palm Beach,33411,11/14/2013,22.13
Not Specified,Edna Pierce,Upper Class,South,North Carolina,Goldsboro,27534,11/15/2013,298.49
Hi,Bonnie Matthews Rowland,Middle Class,South,Florida,Miami,33916,11/16/2013,4310.92
Lo,Regina Langley,Upper Class,South,Georgia,Martinez,30907,11/16/2013,727.87
Hi,Ricky W Clements,Upper Class,South,Alabama,Vestavia Hills,35216,11/18/2013,29.08
Med,Christina Thompson,Upper Class,South,South Carolina,Anderson,29624,11/19/2013,377.31
Med,Benjamin Gunter,Upper-Middle Class,South,Florida,Hialeah,33012,11/20/2013,33.02
Med,Marjorie Burnette,Upper Class,South,Tennessee,Cleveland,37311,11/20/2013,588.48
Med,Marshall Sutherland,Middle Class,South,Alabama,Phenix City,36869,11/21/2013,26.01
Not Specified,Rhonda Stein,Upper Class,South,North Carolina,Salisbury,28144,11/21/2013,28.73
Med,Shirley Garner,Middle Class,South,Florida,Oviedo,32765,11/23/2013,737.47
Not Specified,Dan McGee,Middle Class,South,Virginia,Reston,20190,11/23/2013,315.86
Hi,Beth Dolan,Upper Class,South,Florida,Panama City,32404,11/24/2013,92.02
Med,Steve Raynor,Upper Class,South,South Carolina,Taylors,29687,11/24/2013,7.53
Not Specified,Maurice Kelly,Upper Class,South,Florida,Lakeland,33801,11/24/2013,29.16
Hi,Annette McIntyre,Middle Class,South,Georgia,Kennesaw,30144,11/25/2013,59.22
Lo,Virginia Gill,Upper Class,South,Kentucky,Richmond,40475,11/25/2013,168.06
Lo,Max Hubbard,Upper Class,South,Florida,Winter Park,32789,11/26/2013,61.72
Not Specified,Diane Lu,Upper Class,South,Florida,Tallahassee,32303,11/26/2013,33.89
Not Specified,Laurence Flowers,Middle Class,South,Mississippi,Biloxi,39530,11/28/2013,289.67
Hi,Emily Sims,Upper Class,South,Tennessee,Nashville,37211,11/29/2013,131.07
Med,Charlotte L Doyle,Middle Class,South,Florida,Coral Gables,33134,12/2/2013,1557.66
Hi,Julian Keith Mayer,Middle Class,South,Florida,Sanford,32771,12/3/2013,3600.65
Hi,Edna Pierce,Upper Class,South,North Carolina,Goldsboro,27534,12/4/2013,5835.41
Hi,Neal Helms,Upper-Middle Class,South,North Carolina,Charlotte,28205,12/4/2013,145.75
Hi,Troy Hendrix,Middle Class,South,Florida,Fort Pierce,34982,12/4/2013,77.69
Med,Colleen Marsh,Upper Class,South,Kentucky,Paducah,42003,12/5/2013,1805.9
Med,Troy Hendrix,Middle Class,South,Florida,Fort Pierce,34982,12/5/2013,2173.49
Lo,Larry Hall,Middle Class,South,Alabama,Birmingham,35211,12/7/2013,4803.46
Lo,Natalie Snow,Middle Class,South,Alabama,Selma,36701,12/8/2013,244.8
Med,Laurence Flowers,Middle Class,South,Mississippi,Biloxi,39530,12/9/2013,59.46
Not Specified,Anne Schultz,Upper Class,South,Georgia,Athens,30605,12/9/2013,490.04
Hi,Barbara Whitfield,Upper Class,South,Virginia,Lynchburg,24501,12/12/2013,2136.68
Med,Gene Gilliam,Upper-Middle Class,South,Georgia,Atlanta,30318,12/12/2013,2527.79
Hi,Eleanor Swain,Upper-Middle Class,South,North Carolina,Charlotte,28204,12/14/2013,6814.28
Hi,Troy Hendrix,Upper Class,South,Florida,Fort Pierce,34982,12/15/2013,1625.62
Hi,Victoria Baker Hoover,Upper Class,South,Louisiana,Terrytown,70056,12/15/2013,503.04
Lo,Rhonda Stein,Upper Class,South,North Carolina,Salisbury,28144,12/15/2013,727.13
Not Specified,Nathan Jenkins,Middle Class,South,Arkansas,Pine Bluff,71603,12/15/2013,13.72
Not Specified,Sandra Faulkner,Middle Class,South,Virginia,Portsmouth,23701,12/16/2013,42.77
Hi,Benjamin Gunter,Upper-Middle Class,South,Florida,Hialeah,33012,12/17/2013,35.01
Hi,Lisa Kim,Upper Class,South,Florida,Palm Beach Gardens,33403,12/18/2013,2013.28
Hi,Anne Schultz,Upper Class,South,Georgia,Athens,30605,12/19/2013,27.21
Med,Annette McIntyre,Upper Class,South,Georgia,Kennesaw,30144,12/20/2013,952.26
Lo,Geoffrey H Wong,Upper Class,South,Georgia,Rome,30161,12/24/2013,856.82
Hi,Gladys Holloway,Middle Class,South,Florida,Oakland Park,33334,12/25/2013,31.71
Hi,Robert Willis,Upper-Middle Class,South,North Carolina,Concord,28027,12/26/2013,967.62
Hi,Neal Helms,Upper Class,South,North Carolina,Charlotte,28205,12/27/2013,431.43
Lo,Andrew Gonzalez,Middle Class,South,North Carolina,Charlotte,28206,12/27/2013,338.71
Hi,Paul Wood,Upper-Middle Class,South,Florida,Poinciana,34759,12/29/2013,603.88
Not Specified,Alfred Burton,Middle Class,South,Alabama,Montgomery,36116,12/30/2013,74.34
Lo,Ray Silverman,Upper-Middle Class,South,Florida,Ponte Vedra Beach,32004,12/31/2013,985.97
Med,Sherry Hurley,Middle Class,South,North Carolina,Fayetteville,28314,12/31/2013,391.4
Not Specified,Cameron Clapp,Upper-Middle Class,South,Florida,Homestead,33030,1/1/2014,23.83
Hi,Todd D Norris,Upper Class,South,Virginia,Newport News,23602,1/3/2014,94.8
Hi,Gretchen Orr,Upper Class,South,Louisiana,Lake Charles,70601,1/4/2014,623.18
Lo,Elisabeth Shaw,Upper Class,South,Florida,Ormond Beach,32174,1/4/2014,33.3
Med,Katherine Mills,Upper Class,South,Florida,Palm Coast,32137,1/4/2014,202.57
Med,Shirley Garner,Middle Class,South,Florida,Oviedo,32765,1/4/2014,55.94
Hi,Caroline Morton,Upper Class,South,Florida,Miami,33178,1/5/2014,4012.76
Lo,Theresa Stephens,Upper Class,South,Arkansas,Fayetteville,72701,1/7/2014,838.78
Hi,Lori Wolfe,Middle Class,South,Mississippi,Hattiesburg,39401,1/8/2014,243.24
Not Specified,Kelly Sawyer,Upper Class,South,Louisiana,Lafayette,70506,1/8/2014,113.3
Hi,Bonnie Matthews Rowland,Middle Class,South,Florida,Miami,33916,1/9/2014,4166.98
Not Specified,Samuel Newman,Upper Class,South,South Carolina,Summerville,29483,1/10/2014,418.75
Lo,Neil Parker,Middle Class,South,Alabama,Decatur,35601,1/13/2014,59.22
Med,Russell W Melton,Upper Class,South,Alabama,Northport,35473,1/14/2014,128.13
Lo,Courtney Boyd,Upper Class,South,Virginia,Fairfax,20151,1/15/2014,53.02
Hi,Paul Wood,Upper Class,South,Florida,Poinciana,34759,1/17/2014,14.96
Not Specified,Sean Stephenson,Middle Class,South,Georgia,Peachtree City,30269,1/17/2014,150.6
Lo,Rosemary Stark,Upper Class,South,Georgia,Newnan,30265,1/19/2014,92.99
Med,George McLamb,Middle Class,South,Virginia,Alexandria,22304,1/21/2014,352.21
Hi,Carolyn Fisher,Upper Class,South,Arkansas,Sherwood,72116,1/23/2014,65.72
Hi,Justin Hull,Middle Class,South,Georgia,Gainesville,30501,1/23/2014,824.5
Lo,Rick Ellis,Upper-Middle Class,South,Virginia,Springfield,22153,1/23/2014,319.48
Lo,Max Hubbard,Upper Class,South,Florida,Winter Park,32789,1/25/2014,1403.17
Hi,Clyde Norman,Middle Class,South,North Carolina,Jacksonville,28540,1/27/2014,280.02
Lo,Peter McConnell,Middle Class,South,Mississippi,Columbus,39701,1/27/2014,3228.01
Not Specified,Carla Braun,Middle Class,South,Tennessee,Maryville,37804,1/27/2014,89.08
Not Specified,George McLamb,Middle Class,South,Virginia,Alexandria,22304,1/27/2014,123.18
Hi,Jennifer Zimmerman,Upper Class,South,Arkansas,Jonesboro,72401,1/28/2014,464.94
Lo,Alison Jones,Middle Class,South,North Carolina,Wilmington,28403,1/28/2014,185.52
Lo,Rodney Kearney,Middle Class,South,Louisiana,Metairie,70003,1/28/2014,568.06
Lo,Kathy Norman,Middle Class,South,Virginia,Arlington,22204,1/29/2014,624.1
Not Specified,Gina McKnight,Middle Class,South,Tennessee,Farragut,37922,2/1/2014,2589.01
Hi,Hannah Tyson,Middle Class,South,Arkansas,Paragould,72450,2/2/2014,5.29
Hi,James Fox,Middle Class,South,Tennessee,Franklin,37064,2/2/2014,8.65
Not Specified,Sheryl Reese,Middle Class,South,Kentucky,Owensboro,42301,2/2/2014,556.79
Hi,Eileen Dalton,Upper Class,South,Tennessee,Columbia,38401,2/3/2014,3.37
Hi,Ross Simpson,Middle Class,South,Georgia,Atlanta,30318,2/3/2014,471.92
Not Specified,Tracy Buckley,Middle Class,South,Arkansas,North Little Rock,72113,2/3/2014,522.27
Hi,Jack Morse,Upper Class,South,Florida,Dunedin,34698,2/4/2014,17.73
Hi,Juanita Bennett,Middle Class,South,Florida,Miramar,33023,2/4/2014,87.68
Hi,Marshall Brandt Briggs,Upper Class,South,Tennessee,Maryville,37804,2/4/2014,67.71
Hi,Jennifer Marks,Upper Class,South,Tennessee,Cleveland,37311,2/5/2014,178.48
Lo,Maurice Kelly,Upper Class,South,Florida,Lakeland,33801,2/5/2014,99.75
Lo,Tony Woods,Upper Class,South,Florida,Ocoee,34761,2/5/2014,1012.07
Lo,Tony Woods,Upper Class,South,Florida,Ocoee,34761,2/6/2014,42.37
Hi,Claudia White,Upper-Middle Class,South,Tennessee,Gallatin,37066,2/7/2014,16.72
Lo,Vivian Goldstein,Middle Class,South,Florida,Brandon,33511,2/7/2014,51.86
Hi,Miriam Mueller,Upper Class,South,Tennessee,Murfreesboro,37130,2/8/2014,4892
Hi,Milton Pollock,Middle Class,South,Alabama,Gadsden,35904,2/9/2014,299.63
Hi,Claudia White,Upper-Middle Class,South,Tennessee,Gallatin,37066,2/11/2014,125.9
Hi,Marshall Sutherland,Middle Class,South,Alabama,Phenix City,36869,2/12/2014,47.59
Lo,George Yates,Upper Class,South,Alabama,Homewood,35209,2/12/2014,106.67
Not Specified,William Pace,Upper Class,South,Arkansas,Hot Springs,71901,2/12/2014,43.73
Not Specified,Gregory R Snow,Middle Class,South,South Carolina,Greer,29651,2/13/2014,1786.04
Lo,Kimberly Matthews,Upper-Middle Class,South,South Carolina,Taylors,29687,2/15/2014,37.52
Lo,Jane Howell,Middle Class,South,Louisiana,Baton Rouge,70802,2/16/2014,298.91
Hi,Ralph Fowler,Upper Class,South,Louisiana,Slidell,70458,2/17/2014,81.25
Lo,Katharine Hudson,Middle Class,South,Tennessee,Clarksville,37042,2/18/2014,72.15
Lo,Julie Lang,Upper Class,South,Louisiana,Houma,70364,2/19/2014,63.35
Med,Tracy Buckley,Middle Class,South,Arkansas,North Little Rock,72113,2/19/2014,132.23
Med,Vicki Hauser,Middle Class,South,Tennessee,Lebanon,37087,2/19/2014,46.5
Hi,William McDonald,Middle Class,South,Alabama,Mobile,36608,2/21/2014,171.71
Lo,Regina Langley,Upper Class,South,Georgia,Martinez,30907,2/22/2014,96.96
Hi,Brandon Moser,Middle Class,South,Alabama,Montgomery,36116,2/23/2014,86.83
Hi,Michele Bradshaw,Middle Class,South,Florida,Dunedin,34698,2/27/2014,1160.42
Hi,Jackie Burke,Middle Class,South,Florida,Carol City,33055,2/28/2014,480.51
Lo,Natalie Snow,Middle Class,South,Alabama,Selma,36701,2/28/2014,287.45
Hi,Kevin Wolfe,Upper Class,South,Georgia,East Point,30344,3/1/2014,13.69
Not Specified,Gina McKnight,Middle Class,South,Tennessee,Farragut,37922,3/4/2014,1467.2
Not Specified,Gina McKnight,Middle Class,South,Tennessee,Farragut,37922,3/5/2014,1893.93
Hi,Maxine Fletcher,Upper-Middle Class,South,Arkansas,Van Buren,72956,3/6/2014,6.73
Hi,Paige Powers,Upper Class,South,Arkansas,West Memphis,72301,3/6/2014,2761.94
Lo,Jerry Webster,Upper Class,South,Florida,Fruit Cove,32259,3/7/2014,80.27
Not Specified,Max Hubbard,Middle Class,South,Florida,Winter Park,32789,3/7/2014,65.57
Lo,Sylvia Kumar,Upper Class,South,Kentucky,Pleasure Ridge Park,40258,3/8/2014,200
Hi,Tracy Dyer,Middle Class,South,South Carolina,Mount Pleasant,29464,3/10/2014,22.46
Lo,Herbert Holden,Middle Class,South,Georgia,Atlanta,30305,3/11/2014,1645.82
Med,Arthur Gold,Upper-Middle Class,South,Tennessee,Hendersonville,37075,3/12/2014,255.88
Med,Phyllis Little,Upper Class,South,Tennessee,Bartlett,38134,3/17/2014,68.9
Not Specified,Monica McCormick,Upper Class,South,North Carolina,Albemarle,28001,3/17/2014,5082.26
Hi,Charlene Reynolds,Upper Class,South,Florida,Davie,33314,3/18/2014,29.06
Med,Bob Berg,Upper Class,South,Florida,North Miami,33161,3/18/2014,260.01
Not Specified,Sandra O'Neill Briggs,Middle Class,South,South Carolina,Florence,29501,3/18/2014,1916.19
Med,Roger Hopkins,Upper Class,South,Arkansas,Conway,72032,3/19/2014,45.2
Hi,Christian Albright,Upper-Middle Class,South,Tennessee,Smyrna,37167,3/20/2014,93.55
Hi,Theresa Winters,Middle Class,South,Arkansas,Bryant,72022,3/20/2014,370.81
Lo,Kent Kerr,Middle Class,South,Tennessee,Knoxville,37918,3/21/2014,1053.61
Not Specified,Hazel Lindsay,Upper-Middle Class,South,Mississippi,Long Beach,39560,3/21/2014,7582.99
Not Specified,Beverly Roberts,Upper Class,South,Georgia,Savannah,31401,3/24/2014,164.98
Not Specified,Daniel Christian,Middle Class,South,Louisiana,New Orleans,70117,3/24/2014,2642.48
Lo,Eleanor Swain,Middle Class,South,North Carolina,Charlotte,28204,3/26/2014,169.48
Not Specified,Jill Clements,Upper Class,South,Virginia,Montclair,22025,3/26/2014,54.83
Med,Kerry Hardy,Upper Class,South,Florida,Fort Lauderdale,33311,3/29/2014,237.83
Not Specified,Max Hubbard,Middle Class,South,Florida,Winter Park,32789,3/29/2014,5615.88
Lo,Roger Hopkins,Upper Class,South,Arkansas,Conway,72032,3/30/2014,2009.85
Not Specified,Sheryl Reese,Middle Class,South,Kentucky,Owensboro,42301,3/30/2014,19.32
Hi,Claudia White,Upper-Middle Class,South,Tennessee,Gallatin,37066,4/1/2014,116.32
Hi,Paige Powers,Middle Class,South,Arkansas,West Memphis,72301,4/1/2014,609.09
Lo,Shirley Garner,Middle Class,South,Florida,Oviedo,32765,4/1/2014,17.14
Med,Brad Pearce,Middle Class,South,Florida,Deland,32720,4/1/2014,2370.52
Med,Sharon Hopkins,Upper Class,South,Arkansas,Van Buren,72956,4/1/2014,136.69
Lo,Regina Langley,Upper Class,South,Georgia,Martinez,30907,4/2/2014,259.75
Med,Tara Powers Underwood,Middle Class,South,Mississippi,Greenville,38701,4/2/2014,92.27
Not Specified,Sylvia Kumar,Upper Class,South,Kentucky,Pleasure Ridge Park,40258,4/3/2014,624.07
Hi,Sandy Hunt,Middle Class,South,Florida,Altamonte Springs,32701,4/4/2014,267.69
Hi,Rita Vaughn,Middle Class,South,Arkansas,Benton,72015,4/5/2014,342.92
Lo,Gerald Raynor,Middle Class,South,Mississippi,Horn Lake,38637,4/5/2014,111.52
Not Specified,Carole Creech,Middle Class,South,Florida,Lake Worth,33461,4/6/2014,23.35
Not Specified,Constance Ivey,Middle Class,South,Florida,Sarasota,34239,4/8/2014,377.85
Hi,Bonnie Matthews Rowland,Upper Class,South,Florida,Miami,33916,4/9/2014,206.04
Hi,Ricky Allred,Middle Class,South,South Carolina,Columbia,29203,4/9/2014,157.99
Med,Kent Kerr,Middle Class,South,Tennessee,Knoxville,37918,4/10/2014,993.98
Hi,Jackie Burke,Middle Class,South,Florida,Carol City,33055,4/11/2014,4035.94
Lo,Zachary Potter,Upper-Middle Class,South,North Carolina,Sanford,27237,4/11/2014,1630.34
Lo,Eleanor Swain,Middle Class,South,North Carolina,Charlotte,28204,4/12/2014,836.47
Lo,Julia Haynes,Middle Class,South,North Carolina,Mooresville,28115,4/13/2014,133.01
Lo,Vivian Goldstein,Middle Class,South,Florida,Brandon,33511,4/17/2014,125.75
Lo,Christian Albright,Upper-Middle Class,South,Tennessee,Smyrna,37167,4/19/2014,80.23
Med,Peter McConnell,Middle Class,South,Mississippi,Columbus,39701,4/19/2014,1066.54
Hi,Grace Black,Upper-Middle Class,South,Florida,North Miami Beach,33160,4/20/2014,114.45
Not Specified,Nathan Fox,Middle Class,South,South Carolina,Myrtle Beach,29577,4/20/2014,46.32
Med,Carrie McIntosh,Middle Class,South,Florida,Royal Palm Beach,33411,4/21/2014,94.3
Hi,Francis Edwards,Middle Class,South,Georgia,Evans,30809,4/23/2014,115.86
Med,Erica Riddle,Middle Class,South,Alabama,Prattville,36067,4/23/2014,41.13
Not Specified,Vanessa Day,Upper Class,South,Tennessee,Collierville,38017,4/23/2014,20.75
Hi,Anthony Greer,Middle Class,South,Georgia,Columbus,31907,4/24/2014,414.67
Hi,Geoffrey H Wong,Upper Class,South,Georgia,Rome,30161,4/25/2014,170.46
Hi,Stuart Bruce,Upper Class,South,Florida,Boynton Beach,33437,4/27/2014,294.55
Lo,Sheryl Reese,Middle Class,South,Kentucky,Owensboro,42301,4/28/2014,3519.39
Med,Meredith Humphrey,Middle Class,South,North Carolina,Cary,27511,4/28/2014,680.39
Not Specified,Wayne English,Upper Class,South,Louisiana,New Iberia,70560,4/28/2014,456.58
Not Specified,Roger Hopkins,Upper Class,South,Arkansas,Conway,72032,4/30/2014,189.79
Hi,Cameron Owens,Upper Class,South,Kentucky,Covington,41011,5/1/2014,554.08
Hi,Cathy Burgess,Upper-Middle Class,South,Louisiana,Shreveport,71109,5/2/2014,96.68
Med,Timothy S Connolly,Upper Class,South,North Carolina,Eden,27288,5/2/2014,615.42
Not Specified,Kent Gill,Middle Class,South,Alabama,Opelika,36801,5/2/2014,1878.12
Hi,Benjamin Gunter,Middle Class,South,Florida,Hialeah,33012,5/5/2014,858.94
Hi,George Yates,Middle Class,South,Alabama,Homewood,35209,5/8/2014,19882.09
Hi,Paige Mason,Upper Class,South,Virginia,Norfolk,23518,5/8/2014,66.12
Hi,Vivian Goldstein,Middle Class,South,Florida,Brandon,33511,5/9/2014,1140.96
Not Specified,Herman Leach,Middle Class,South,Virginia,Hampton,23666,5/9/2014,212.82
Not Specified,Benjamin Lam,Middle Class,South,Georgia,Atlanta,30318,5/12/2014,471.72
Hi,Rodney Kearney,Middle Class,South,Louisiana,Metairie,70003,5/13/2014,120.62
Med,Arnold Floyd Blair,Upper Class,South,South Carolina,Rock Hill,29730,5/14/2014,374.6
Med,Bryan Weinstein,Upper Class,South,Florida,Winter Garden,34787,5/18/2014,140.79
Hi,Erika Clapp,Middle Class,South,Tennessee,Chattanooga,37421,5/19/2014,53.21
Med,Charlotte L Doyle,Middle Class,South,Florida,Coral Gables,33134,5/19/2014,58.83
Lo,Sylvia Kumar,Upper Class,South,Kentucky,Pleasure Ridge Park,40258,5/20/2014,288.41
Lo,Alfred Singh,Upper Class,South,Virginia,Mechanicsville,23111,5/21/2014,58.52
Not Specified,Beverly Cameron,Middle Class,South,North Carolina,Apex,27502,5/21/2014,46.65
Hi,Russell Hsu O'Neill,Middle Class,South,Tennessee,Gallatin,37066,5/22/2014,6506.17
Lo,Herman Leach,Upper Class,South,Virginia,Hampton,23666,5/22/2014,4.97
Lo,Herbert Reddy,Middle Class,South,North Carolina,Thomasville,27360,5/24/2014,53.42
Med,Herbert Reddy,Upper Class,South,North Carolina,Thomasville,27360,5/24/2014,2030.25
Med,Todd D Norris,Upper Class,South,Virginia,Newport News,23602,5/25/2014,75.48
Not Specified,Dana Jain,Upper-Middle Class,South,Florida,Apopka,32712,5/25/2014,31.86
Not Specified,Sidney Brewer,Upper-Middle Class,South,Florida,Immokalee,34142,5/25/2014,127.94
Lo,Ricky Y Newman,Middle Class,South,Georgia,Hinesville,31313,5/26/2014,1891.19
Hi,Kristine Holden,Upper-Middle Class,South,South Carolina,Mauldin,29662,5/27/2014,416.73
Med,Francis Burch,Upper-Middle Class,South,Florida,Jacksonville,32216,5/28/2014,844.57
Not Specified,Rhonda Stein,Upper Class,South,North Carolina,Salisbury,28144,5/29/2014,629.04
Hi,Kent Kerr,Middle Class,South,Tennessee,Knoxville,37918,5/31/2014,5.5
Not Specified,Ray Silverman,Upper Class,South,Florida,Ponte Vedra Beach,32004,6/1/2014,42.5
Not Specified,Clyde Fuller,Upper Class,South,Florida,Orlando,32839,6/3/2014,649.97
Hi,Ken H Frazier,Middle Class,South,Virginia,Oakton,22124,6/5/2014,138.06
Lo,Constance Robertson,Middle Class,South,Florida,Tampa,33614,6/5/2014,413.21
Lo,Marc S Liu,Middle Class,South,Louisiana,Marrero,70072,6/5/2014,277.11
Hi,Andrew Gonzalez,Middle Class,South,North Carolina,Charlotte,28206,6/6/2014,289.74
Not Specified,Laurence Cummings,Upper-Middle Class,South,Florida,Lehigh Acres,33971,6/6/2014,206.94
Hi,Courtney Weber,Middle Class,South,Virginia,Rose Hill,24281,6/10/2014,26.65
Hi,Lori Wolfe,Middle Class,South,Mississippi,Hattiesburg,39401,6/10/2014,48.25
Lo,Mike G Hartman,Middle Class,South,Florida,Pembroke Pines,33024,6/10/2014,107.72
Not Specified,Glenda Bowles,Upper Class,South,Arkansas,Russellville,72801,6/10/2014,554.64
Hi,Gregory R Snow,Middle Class,South,South Carolina,Greer,29651,6/11/2014,340.33
Lo,Larry Hahn,Middle Class,South,Arkansas,Rogers,72756,6/14/2014,121.9
Med,Lee Xu,Middle Class,South,Alabama,Madison,35756,6/14/2014,20552.55
Lo,Ellen Blair,Middle Class,South,Florida,Panama City,32404,6/16/2014,175.64
Hi,Nicole Pope,Upper Class,South,North Carolina,Rocky Mount,27801,6/19/2014,47.97
Lo,Robin Tyler,Upper Class,South,Kentucky,Murray,42071,6/19/2014,1191.74
Hi,Gene Caldwell,Upper Class,South,North Carolina,Wake Forest,27587,6/21/2014,6.75
Hi,Jeff Meadows,Upper Class,South,Kentucky,Paducah,42003,6/22/2014,618.96
Hi,Paige Powers,Middle Class,South,Arkansas,West Memphis,72301,6/23/2014,17.53
Hi,Gary Koch,Upper-Middle Class,South,Mississippi,Clinton,39056,6/24/2014,201.94
Lo,Eleanor Swain,Upper-Middle Class,South,North Carolina,Charlotte,28204,6/25/2014,343.07
Med,Beverly Roberts,Upper Class,South,Georgia,Savannah,31401,6/25/2014,5016.43
Hi,Julia Haynes,Middle Class,South,North Carolina,Mooresville,28115,6/27/2014,853.64
Hi,Kevin Wolfe,Upper Class,South,Georgia,East Point,30344,6/28/2014,536.29
Hi,Brad H Blake,Upper Class,South,Florida,Gainesville,32601,6/30/2014,9157.79
Not Specified,Ross Simpson,Middle Class,South,Georgia,Atlanta,30318,7/1/2014,718.03
Med,Patsy Shea,Middle Class,South,South Carolina,Hilton Head Island,29915,7/2/2014,1094.33
Not Specified,Ricky Y Newman,Middle Class,South,Georgia,Hinesville,31313,7/2/2014,556.2
Not Specified,Edna Pierce,Upper Class,South,North Carolina,Goldsboro,27534,7/3/2014,259.32
Hi,Kim Ellington,Upper-Middle Class,South,Tennessee,Nashville,37211,7/4/2014,47.2
Hi,Paige Powers,Upper Class,South,Arkansas,West Memphis,72301,7/4/2014,112.29
Lo,Sidney Scarborough,Upper-Middle Class,South,Virginia,Charlottesville,22901,7/5/2014,926.3
Hi,Faye Manning,Upper Class,South,Florida,Saint Petersburg,33710,7/6/2014,443.66
Hi,Gina McKnight,Middle Class,South,Tennessee,Farragut,37922,7/6/2014,515.09
Hi,Laurie Petty,Middle Class,South,Florida,Jupiter,33458,7/9/2014,8.65
Lo,Glenn Jain,Upper Class,South,Florida,Titusville,32780,7/10/2014,48.12
Hi,Ricky Y Newman,Middle Class,South,Georgia,Hinesville,31313,7/11/2014,2584.53
Med,Nicholas Donnelly,Upper-Middle Class,South,Florida,Port Charlotte,33952,7/11/2014,185.81
Not Specified,James Fox,Middle Class,South,Tennessee,Franklin,37064,7/11/2014,60.53
Hi,Edna Freeman,Upper-Middle Class,South,Virginia,Virginia Beach,23464,7/13/2014,1677.95
Lo,Janice Cole,Upper Class,South,Louisiana,Baton Rouge,70802,7/13/2014,130.62
Lo,Juan Gold,Middle Class,South,Florida,Pensacola,32503,7/14/2014,434.6
Lo,Amy Boyd,Upper Class,South,Tennessee,Clarksville,37042,7/15/2014,78.85
Hi,Jane Freeman,Middle Class,South,Florida,Plant City,33566,7/20/2014,566.79
